taxpayer_id,name,income,declared_tax,paid_tax,deductions,year,tax_rate,tax_payment_ratio,deduction_ratio,filing_status_Head of Household,filing_status_Married,filing_status_Single
1,Kibet Gitau,0.023666226387548714,0.0034297437571651733,0.004055097225501632,0.023977223679719776,2022,0.0030383127061869852,1.0,0.4562832947864419,False,False,True
2,Kamau Sang,0.05683723027596997,0.022110904308950265,0.02272453524345589,0.03348120049354449,2022,0.22921523760962023,1.0,0.4656461006133476,False,False,True
3,Odhiambo Sang,0.05968809900572671,0.013244800835454984,0.013863995300000813,0.026222591728202235,2024,0.07395718265209442,1.0,0.45136749532956044,False,True,False
4,Muthoni Ondiek,0.001560025294536564,0.0006716483056378197,0.0012987324944586703,0.020609453987412166,2022,0.08890659886454932,1.0,0.44957708643328115,False,True,False
5,Wambui Kuria,0.053381922811885876,0.03885159062486752,0.03945471668409274,0.031803477591470126,2022,0.5420764629434376,1.0,0.46379302037950926,False,False,True
6,Akinyi Sang,0.02869395448964263,0.012850688388357916,0.013470130160691794,0.005153886334096896,2024,0.267412395421855,1.0,0.387442046751458,False,True,False
7,Mutua Ochieng,0.06482147882795981,0.027245778810722245,0.027856187582456064,0.036305105504483806,2022,0.26034649648545083,1.0,0.4674515659210989,True,False,False
8,Maina Mutai,0.0032923197467444494,0.0009997343091298144,0.0016266126221291552,0.03595862473395479,2024,0.07868071460460693,1.0,0.6895480060326136,False,False,True
9,Odinga Kiprono,0.061688329755994344,0.011948307779139904,0.012568315800406255,0.022324410764349528,2023,0.04770410367638003,1.0,0.44418702960916545,True,False,False
10,Jelimo Kenyatta,0.06687478655951815,0.027309499660486895,0.027919868447027343,0.020244517639689406,2024,0.24956257392962636,1.0,0.44052387948959054,True,False,False
11,Nyambura Rudisha,0.0799523158971566,0.027654877617782053,0.028265029677702246,0.023928351697708378,2023,0.1925379524844246,1.0,0.44556661116579055,True,False,False
12,Njeri Ochieng,0.013274910617419294,0.006178876212637888,0.006802504584820636,0.022747174587279338,2022,0.2490091799012589,1.0,0.4576210631076607,False,False,True
13,Njeri Ondiek,0.08017537181058221,0.012675809095561937,0.013295360605640448,0.03892109784907005,2022,0.014456027963744789,1.0,0.4661034184542015,False,True,False
14,Kamau Kiprono,0.008480162739408676,0.002993352483019373,0.0036189797893468106,0.0216638422910217,2023,0.1455465667164351,1.0,0.45422739541303736,False,True,False
15,Nyambura Kibaki,0.03671542925144762,0.007578631053080851,0.008201381071189907,0.02461725906279271,2022,0.05772206936154761,1.0,0.4530071817722407,False,False,True
16,Njoroge Kenyatta,0.7143559593486575,0.23377926112000158,0.0,0.22344330685700936,2023,0.18208254449789266,0.0,0.4730523726611429,False,True,False
17,Omondi Nyong'o,0.024653916284662743,0.028274822981548417,0.02888458602224896,0.02135346587369136,2022,0.8609305750650539,1.0,0.44517683428003724,False,False,True
18,Keter Nyong'o,0.043878652038339905,0.008416282115229027,0.00903850650256224,0.030745781402986526,2022,0.04513559767541697,1.0,0.46588666398716483,True,False,False
19,Chebet Rotich,0.03533359957540022,0.013010783060652191,0.01363012437267436,0.02787560634386968,2023,0.20223982986964603,1.0,0.4630048264294484,False,False,True
20,Otieno Owino,0.04489967074391769,0.02005388230444911,0.020668804031888706,0.02758642862777499,2023,0.27813974850512146,1.0,0.45790164347357504,False,False,True
21,Mutua Ondiek,0.052873131128249276,0.007772617954829324,0.008395246245061133,0.00938376343669391,2024,0.00413918356963372,1.0,0.4185252933500371,False,False,True
22,Jelimo Ondiek,0.5753102597664207,0.11217552693410575,0.11273264180887527,0.035459477008475584,2022,0.051018667765040854,1.0,0.44344162796150255,True,False,False
23,Omondi Kenyatta,0.026711543301223904,0.024590829863630752,0.025202904630834452,0.02051701474120571,2023,0.6743390137328829,1.0,0.44171578007152573,True,False,False
24,Kiplangat Muchiri,0.006837950491632068,0.0023110119859465986,0.002937067464792489,0.02244528975246109,2023,0.12658909049163622,1.0,0.46462240196259336,False,False,True
25,Kariuki Kamau,0.09465837639844638,0.02827871367115413,0.028888474270424954,0.023430414174012374,2024,0.1488430166507079,1.0,0.44421353173921546,False,False,True
26,Chebet Wanjala,0.17693484933138573,0.16072548276901477,0.16125213227209695,0.04658228023759246,2023,0.7451933049897337,1.0,0.45724299234465954,True,False,False
27,Wanjiku Rudisha,0.08081002545023173,0.012154168489166547,0.012774047331673848,0.015955401159804948,2023,0.00715415346233092,1.0,0.4346675823230807,False,False,True
28,Rotich Kemboi,0.0706505849708128,0.023191103843110794,0.023804056946303522,0.025139481302271515,2023,0.1747850480972932,1.0,0.44808267305629756,False,True,False
29,Wambui Lagat,0.003421817938038832,0.001104811748407029,0.0017316241247193334,0.021634313367511718,2023,0.0888835940741603,1.0,0.46316765305340074,False,True,False
